"Table for differential metabolites. The raw data of metabolome reported in this figure part have been deposited in the OMIX, China National Center for Bioinformation (OMIX010468, https://ngdc.cncb.ac.cn/omix/release/OMIX010468). "																							
The analysis and visualization of proteomics data were performed on the Majorbio I-Sanger Cloud Platform (http://www.i-sanger.com)																							
ID	Mode	Metab ID	Metabolite	p value	FDR	VIP_pred_OPLS-DA	VIP_PLS-DA	FC(XOS_L/CON_L)	Log2FC(XOS_L/CON_L)	Significant	Regulate	Library ID	HMDB Superclass	HMDB Class	HMDB Subclass	CAS ID	M/Z	Retention time	Adducts	Formula	Fragmentation Score	Theoretical Fragmentation Score	
pos_2859	pos	metab_1931	Glycodeoxycholic Acid	0.0064	0.0570	2.298	2.235	1.21	0.28	yes	up	HMDB0242414;HMDB0000631;LMST05030006;MJDBDZS0000011	Lipids and lipid-like molecules	Steroids and steroid derivatives	"Bile acids, alcohols and derivatives"	360-65-6	899.635	5.684	2M+H	C26H43NO5	80.7	0	
neg_3622	neg	metab_8756	"LysoPC(18:3(6Z,9Z,12Z)/0:0)"	0.0013	0.0252	2.367	2.243	1.30	0.38	yes	up	HMDB0010387	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	-	562.316	5.833	M+FA-H	C26H48NO7P			
pos_3659	pos	metab_2713	2-(2-Ethyl-3H-1-benzofuran-2-yl)-1H-imidazole	0.0001	0.0111	2.364	2.253	0.82	-0.29	yes	down	HMDB0253831	Organoheterocyclic compounds	Coumarans	Not Available	-	446.254	6.152	2M+NH4	C13H14N2O	0	38.6	
neg_3788	neg	metab_8900	12S-HHT	0.0038	0.0420	2.349	2.262	0.74	-0.44	yes	down	HMDB0012535	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	54397-84-1	325.202	5.638	M+FA-H	C17H28O3			
neg_2965	neg	metab_8081	"LysoPC(0:0/20:4(5Z,8Z,11Z,14Z))"	2.915E-5	0.0081	2.418	2.305	1.27	0.34	yes	up	HMDB0061699	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	67341-29-1	588.331	7.127	M+FA-H	C28H50NO7P			
pos_4634	pos	metab_3720	"CDP-DG(i-22:0/22:6(4Z,8Z,10Z,13Z,16Z,19Z)-OH(7))"	0.0126	0.0793	2.277	2.330	0.74	-0.43	yes	down	HMDB0294375	Not Available	Not Available	Not Available	-	563.810	4.127	M+2H	C56H93N3O16P2	0	38.4	
neg_6047	neg	metab_11222	"5-Nonadecyl-1,3-benzenediol"	0.0001	0.0117	2.467	2.377	0.78	-0.36	yes	down	HMDB0030956	Benzenoids	Phenols	Benzenediols	35176-46-6	411.306	5.966	M+Cl	C25H44O2			
neg_2737	neg	metab_7848	Bolasterone	9.649E-5	0.0101	2.617	2.467	0.76	-0.40	yes	down	LMST02020017;HMDB0006048	Lipids and lipid-like molecules	Steroids and steroid derivatives	Androstane steroids	1605-89-6	361.239	5.990	M+FA-H	C21H32O2			
neg_3653	neg	metab_8782	Citreoviridin	0.0040	0.0434	2.631	2.495	0.66	-0.61	yes	down	HMDB0250305	Organoheterocyclic compounds	Pyrans	Pyranones and derivatives	25425-12-1	383.187	5.818	M-H2O-H	C23H30O6			
pos_4812	pos	metab_3914	"PS(MonoMe(11,3)/MonoMe(13,5))"	0.0002	0.0128	2.497	2.518	0.75	-0.42	yes	down	HMDB0061604	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoserines	-	470.766	3.487	M+2Na	C48H82NO12P	0	52.4	
pos_4804	pos	metab_3905	"CDP-DG(i-22:0/22:6(4Z,7Z,10Z,13E,15E,19Z)-OH(17))"	0.0007	0.0207	2.620	2.577	0.74	-0.44	yes	down	HMDB0294379	Not Available	Not Available	Not Available	-	563.810	3.511	M+2H	C56H93N3O16P2	0	43.6	
pos_5121	pos	metab_4248	Periplocin	0.0229	0.1120	2.761	2.579	1.82	0.86	yes	up	HMDB0256343	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid lactones	-	719.356	2.782	M+Na	C36H56O13	0	45.4	
pos_3834	pos	metab_2879	N-(1-adamantyl)-1-thiophen-2-ylsulfonylpiperidine-4-carboxamide	5.288E-5	0.0085	2.783	2.686	0.72	-0.47	yes	down	-	-	-	-	-	409.162	5.930	M+H	C20H28N2O3S2	90.8	0	
pos_663	pos	metab_5657	N-Eicosapentaenoyl Tryptophan	0.0024	0.0335	3.100	2.883	1.79	0.84	yes	up	HMDB0242081	Not Available	Not Available	Not Available	-	489.307	4.996	"M+H, M+Na"	C31H40N2O3	0	34.3	
pos_4547	pos	metab_3626	Proscillaridin	0.0004	0.0160	2.997	3.049	0.61	-0.71	yes	down	HMDB0256851	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid lactones	466-06-8	544.300	4.534	2M+3H2O+2H	C30H42O8	0	46.1	
pos_5228	pos	metab_4361	CDP-DG(a-15:0/a-21:0)	1.313E-5	0.0074	3.302	3.204	0.56	-0.83	yes	down	HMDB0116084;PW_C076420	Lipids and lipid-like molecules	Glycerophospholipids	CDP-glycerols	-	527.780	2.598	M+2Na	C48H89N3O15P2	0	30.2	
pos_1836	pos	metab_845	Cyclo(Pro-Phe-D-Trp-Lys-Thr-Phe)	0.0002	0.0126	3.420	3.378	1.97	0.98	yes	up	HMDB0250003	Organic acids and derivatives	Carboxylic acids and derivatives	"Amino acids, peptides, and analogues"	-	415.201	2.162	M+H+Na	C44H54N8O7	0	76.6	
pos_4956	pos	metab_4069	"PA(6 keto-PGF1alpha/20:4(8Z,11Z,14Z,17Z))"	0.0012	0.0247	3.782	3.587	5.93	2.57	yes	up	HMDB0265268	Not Available	Not Available	Not Available	-	428.221	3.142	M+2Na	C43H71O12P	0	41.9	
