"The raw data of microbiome reported in this figure part have been deposited in the NCBI (PRJNA1266879, https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1266879)."					
The analysis and visualization of proteomics data were performed on the Majorbio I-Sanger Cloud Platform (http://www.i-sanger.com)					
Differential microbial composition of jejunal mucosa at genus level					
Name	CON_M-Mean(%)	CON_M-Sd(%)	XOS_M-Mean(%)	XOS_M-Sd(%)	p-value
g__Lysinibacillus	0.001	0.001	0.014	0.013	0.0085
g__Jeotgalicoccus	0.001	0.002	0.076	0.141	0.0173
g__Candidatus_Saccharimonas	0.001	0.002	0.008	0.006	0.0365
g__Edaphobacter	0.001	0.002	0.034	0.036	0.0459
g__Faecalicoccus	0.001	0.002	0.009	0.004	0.0034
g__norank_f__norank_o__WD260	0.001	0.002	0.014	0.013	0.0263
g__Peptostreptococcus	0.000	0.001	0.035	0.032	0.0165
g__Lachnospiraceae_ND3007_group	0.000	0.001	0.029	0.036	0.0165
g__Anaerococcus	0.000	0.001	0.020	0.027	0.0167
g__Monoglobus	0.000	0.001	0.009	0.009	0.0205
g__norank_f__norank_o__norank_c__Alphaproteobacteria	0.000	0.001	0.023	0.024	0.0208
g__Libanicoccus	0.000	0.001	0.013	0.011	0.0208
g__norank_f__norank_o__norank_c__MB-A2-108	0.000	0.001	0.009	0.009	0.0248
g__Intestinimonas	0.000	0.001	0.003	0.002	0.0248
g__Gallicola	0.000	0.001	0.019	0.036	0.0251
g__unclassified_f__Caulobacteraceae	0.000	0.000	0.009	0.008	0.0093
g__Curtobacterium	0.000	0.000	0.009	0.005	0.0095
g__norank_f__norank_o__norank_c__norank_p__Desulfobacterota	0.000	0.000	0.011	0.013	0.0096
g__norank_f__AB1	0.000	0.000	0.009	0.008	0.0096
g__Acetobacter	0.000	0.000	0.003	0.005	0.0269
g__norank_f__norank_o__Rhodospirillales	0.000	0.000	0.003	0.002	0.0269
g__norank_f__Peptococcaceae	0.000	0.000	0.002	0.002	0.0269
g__unclassified_o__Babeliales	0.000	0.000	0.002	0.002	0.0269
g__JG30a-KF-32	0.000	0.000	0.010	0.009	0.0281
g__Acidipila	0.000	0.000	0.006	0.009	0.0281
g__Nosocomiicoccus	0.000	0.000	0.005	0.006	0.0281
g__Kocuria	0.000	0.000	0.005	0.008	0.0281
g__norank_f__norank_o__norank_c__norank_p__SAR324_cladeMarine_group_B	0.000	0.000	0.005	0.005	0.0281
g__BacC-u-018	0.000	0.000	0.005	0.004	0.0281
g__Candidatus_Berkiella	0.000	0.000	0.005	0.007	0.0281
g__norank_f__Clostridium_methylpentosum_group	0.000	0.000	0.004	0.004	0.0281
g__norank_f__norank_o__norank_c__4-29-1	0.000	0.000	0.004	0.004	0.0281
g__Paludicola	0.000	0.000	0.004	0.005	0.0281
g__Ferruginibacter	0.000	0.000	0.003	0.003	0.0281
g__Rhodococcus	0.000	0.000	0.026	0.038	0.0284
g__Ruania	0.000	0.000	0.019	0.026	0.0284
g__Aquisphaera	0.000	0.000	0.016	0.021	0.0284
g__Nesterenkonia	0.000	0.000	0.015	0.027	0.0284
g__norank_f__Bacteroidetes_vadinHA17	0.000	0.000	0.008	0.009	0.0284
g__Rummeliibacillus	0.000	0.000	0.008	0.012	0.0284
g__norank_f__Geobacteraceae	0.000	0.000	0.008	0.008	0.0284
g__norank_f__A21b	0.000	0.000	0.006	0.007	0.0284
g__unclassified_c__Bacilli	0.000	0.000	0.005	0.006	0.0284
					
					
					
Differential microbial composition of jejunal lumen at genus level					
Name	CON_L-Mean(%)	CON_L-Sd(%)	XOS_L-Mean(%)	XOS_L-Sd(%)	p-value
g__Clostridium_sensu_stricto_1	24.700	10.700	9.438	5.982	0.0131
g__Lactobacillus	3.905	0.976	19.810	21.920	0.0051
g__Blautia	0.749	0.235	2.033	1.386	0.0453
g__Sporosarcina	0.202	0.100	0.093	0.086	0.0306
g__Clostridium_sensu_stricto_6	0.155	0.138	0.030	0.015	0.0129
g__Peptococcus	0.070	0.036	0.136	0.042	0.0306
g__Anaerosporobacter	0.023	0.009	0.012	0.007	0.0289
g__Capnocytophaga	0.022	0.031	0.002	0.003	0.0325
g__norank_f__Lachnospiraceae	0.020	0.014	0.005	0.004	0.0192
g__unclassified_o__Bacillales	0.015	0.008	0.004	0.004	0.0237
g__Enhydrobacter	0.012	0.018	0.000	0.000	0.0096
g__Candidatus_Solibacter	0.009	0.003	0.001	0.002	0.0054
g__Abiotrophia	0.007	0.008	0.000	0.000	0.0023
g__Oscillibacter	0.007	0.004	0.000	0.001	0.0044
g__unclassified_f__Atopobiaceae	0.007	0.006	0.000	0.000	0.0096
g__Exiguobacterium	0.005	0.007	0.000	0.000	0.0090
g__Bifidobacterium	0.005	0.004	0.038	0.019	0.0050
g__Bacteroides	0.005	0.006	0.019	0.013	0.0401
g__Escherichia-Shigella	0.005	0.006	0.021	0.017	0.0237
g__norank_f__norank_o__Rokubacteriales	0.004	0.005	0.000	0.000	0.0281
g__Alloprevotella	0.004	0.003	0.001	0.002	0.0484
g__Parabacteroides	0.004	0.006	0.032	0.022	0.0143
g__unclassified_f__Nocardioidaceae	0.004	0.004	0.000	0.001	0.0292
g__Lachnospiraceae_UCG-004	0.003	0.003	0.000	0.000	0.0281
g__Flavobacterium	0.002	0.002	0.000	0.000	0.0277
g__unclassified_c__Actinobacteria	0.001	0.002	0.009	0.011	0.0362
g__Leuconostoc	0.001	0.001	0.009	0.010	0.0141
g__norank_f__D05-2	0.000	0.000	0.074	0.165	0.0284
g__norank_f__norank_o__Coriobacteriales	0.000	0.000	0.008	0.009	0.0284
